dc_id,name,provider,address,municipality,state,latitude,longitude,state_from_coords,coord_state_mismatch,MW_total_power,mw_flagged_outlier,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,url,number,street,est_mw,mw_source,wet_bulb_c,climate_adj,est_liters_per_day,est_liters_per_day_low,est_liters_per_day_high,wue_default,bws_score,bws_category,stress_stressor_match,operator_class,is_hyperscaler_self,is_colocation_major,is_colocation_secondary,is_cable_telecom,is_edge_micro,is_cdn_isp,is_enterprise_self,is_disclosed_mw,lat_lon_grid_cell,lat_lon_grid_id,is_hawaii_alaska,is_water_stressed_state,cooling_type
DC-00010,Apple Inc.: Maiden Data Center,Apple Inc.,"5977 Startown Road, Newton, NC, USA",Newton,NC,35.64298676620549,-81.2692989907583,NC,False,,False,30.45,184000.0,500000.0,https://datacenters.com/apple-inc-maiden,5977.0,Startown Road,50.0,heuristic:hyperscaler_self,11.94904109589041,1.0,1058400.0,529200.0,1587600.0,1.8,2.498,Medium-High,False,hyperscaler_self,True,False,False,False,False,False,False,False,35N-081W,56,False,False,unknown
DC-00011,"Google: Montgomery County, TN Data Center",Google,"1000 Boolean Dr, Clarksville, TN 37040, USA",Clarksville,TN,36.6199067,-87.26407905385179,TN,False,,False,260.98,,,https://datacenters.com/google-montgomery-county-tn,1000.0,Boolean Dr,50.0,heuristic:hyperscaler_self,12.325205479452054,1.0,1058400.0,529200.0,1587600.0,1.8,0.579,Low,False,hyperscaler_self,True,False,False,False,False,False,False,False,36N-087W,71,False,False,unknown
DC-00012,"Google: The Dalles, OR Data Center",Google,"4200 Columbia Rd, The Dalles, OR 97058, USA",The Dalles,OR,45.63233380176376,-121.20507597573058,OR,False,,False,136.09,800000.0,1300000.0,https://datacenters.com/google-the-dalles-or,4200.0,Columbia Rd,50.0,heuristic:hyperscaler_self,9.074520547945204,1.0,1058400.0,529200.0,1587600.0,1.8,1.569,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,45N-121W,161,False,False,unknown
DC-00013,Switch Data Centers: Switch Data Centers: Keep Data Center,Switch Data Centers: Switch Data Centers,"1 Switch Way, Lithia Springs, GA, USA",Lithia Springs,GA,33.75502515,-84.58726849549521,GA,False,110.0,False,11.81,,1000000.0,https://datacenters.com/switch-switch-keep,1.0,Switch Way,110.0,disclosed,13.583835616438355,1.0,2328479.9999999995,1164239.9999999998,3492719.999999999,1.8,1.889,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,33N-084W,36,False,False,unknown
DC-00014,Oracle: US East us-ashburn-1,Oracle,"Ashburn, VA, USA",VA,VA,39.029784,-77.4744147959966,VA,False,,False,6.84,,,https://datacenters.com/oracle-us-east-us-ashburn-1,,Ashburn,50.0,heuristic:hyperscaler_self,10.46109589041096,1.0,1058400.0,529200.0,1587600.0,1.8,1.94,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,39N-077W,93,False,False,unknown
DC-00015,Equinix: NY5 Secaucus Data Center,Equinix,"800 Secaucus Road, Secaucus, NJ, USA",Secaucus,NJ,40.77862955,-74.07229969299424,NJ,False,10.0,False,7.46,108005.0,275322.0,https://datacenters.com/equinix-ny5-secaucus,800.0,Secaucus Road,10.0,disclosed,9.82876712328767,1.0,211680.0,105840.0,317520.0,1.8,2.797,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,40N-074W,105,False,False,unknown
DC-00016,Equinix: CH3 Elk Grove Data Center,Equinix,"1905 Lunt Avenue, Elk Grove Village, IL, USA",Elk Grove Village,IL,42.00107525,-87.95526507465392,IL,False,10.8,False,2.49,133987.0,379662.0,https://datacenters.com/equinix-ch3-elk-grove,1905.0,Lunt Avenue,10.8,disclosed,7.767123287671233,1.0,228614.4,114307.2,342921.6,1.8,0.75,Low,False,colocation_major,False,True,False,False,False,False,False,True,42N-087W,137,False,False,unknown
DC-00017,QTS Data Centers: Phoenix Data Center,QTS Data Centers,"1200 North 40th Street, Phoenix, Arizona 85008, USA",Phoenix,AZ,33.4623278989899,-111.9951634949495,AZ,False,,False,1.25,108000.0,108000.0,https://datacenters.com/qts-phoenix,1200.0,North 40th Street,20.0,heuristic:colocation_major,12.55972602739726,1.0,423360.0,211680.0,635040.0,1.8,3.487,High,True,colocation_major,False,True,False,False,False,False,False,False,33N-111W,40,False,True,unknown
DC-00018,Amazon AWS: IAD23 Ashburn,Amazon AWS,"43830 Devin Shafron Dr, Ashburn, VA 20147, USA",Ashburn,VA,39.00433355,-77.48434988769773,VA,False,,False,4.35,,,https://datacenters.com/amazon-aws-iad23-ashburn,43830.0,Devin Shafron Dr,50.0,heuristic:hyperscaler_self,10.42958904109589,1.0,1058400.0,529200.0,1587600.0,1.8,1.94,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,39N-077W,93,False,False,unknown
DC-00019,Apple Inc.: Mesa Data Center,Apple Inc.,"3740 South Signal Butte Road, Mesa, AZ, USA",Mesa,AZ,33.346856450000004,-111.60398881408416,AZ,False,,False,23.0,,1300000.0,https://datacenters.com/apple-inc-mesa,3740.0,South Signal Butte Road,50.0,heuristic:hyperscaler_self,12.151780821917807,1.0,1058400.0,529200.0,1587600.0,1.8,3.487,High,True,hyperscaler_self,True,False,False,False,False,False,False,False,33N-111W,40,False,True,unknown
DC-00020,"Meta, Inc.: Los Lunas Data Center","Meta, Inc.","4250 Messenger Loop, Los Lunas, NM, USA",Los Lunas,NM,34.830164499999995,-106.78382668671136,NM,False,,False,17.4,,400000.0,https://datacenters.com/facebook-los-lunas,4250.0,Messenger Loop,50.0,heuristic:hyperscaler_self,6.936438356164384,1.0,1058400.0,529200.0,1587600.0,1.8,4.259,Extremely High,True,hyperscaler_self,True,False,False,False,False,False,False,False,34N-106W,50,False,True,unknown
DC-00021,"Google: Papillion, NE Data Center",Google,"14706 Schram Road, Papillion, NE 68138, USA",Papillion,NE,41.13257763265306,-96.1444596122449,NE,False,,False,16.78,,,https://datacenters.com/google-papillion-ne,14706.0,Schram Road,50.0,heuristic:hyperscaler_self,8.319178082191781,1.0,1058400.0,529200.0,1587600.0,1.8,3.16,High,True,hyperscaler_self,True,False,False,False,False,False,False,False,41N-096W,127,False,True,unknown
DC-00022,Equinix: NY2 Secaucus Data Center,Equinix,"275 Hartz Way, Secaucus, NJ, USA",Secaucus,NJ,40.77758225,-74.07594031554937,NJ,False,6.8,False,7.46,131037.0,183900.0,https://datacenters.com/equinix-ny2-secaucus,275.0,Hartz Way,6.8,disclosed,9.82876712328767,1.0,143942.4,71971.2,215913.6,1.8,2.797,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,40N-074W,105,False,False,unknown
DC-00023,Apple Inc.: Prineville Data Center,Apple Inc.,"1600 SW Baldwin Rd, Prineville, OR 97754, USA",Prineville,OR,44.277024313049786,-120.87703841891404,OR,False,,False,229.29,,3200000.0,https://datacenters.com/apple-inc-prineville,1600.0,SW Baldwin Rd,50.0,heuristic:hyperscaler_self,5.338630136986301,1.0,1058400.0,529200.0,1587600.0,1.8,1.569,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,44N-120W,156,False,False,unknown
DC-00024,"Google: New Albany, OH Data Center",Google,"1101 Beech Rd SW, New Albany, OH, USA",New Albany,OH,40.070051,-82.754042,OH,False,,False,7.46,,275000.0,https://datacenters.com/google-new-albany-oh,1101.0,Beech Rd SW,50.0,heuristic:hyperscaler_self,8.823287671232876,1.0,1058400.0,529200.0,1587600.0,1.8,1.279,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,40N-082W,110,False,False,unknown
DC-00025,"Google: Lenoir, NC Data Center",Google,708 Lynhaven Drive,,NC,35.23764143509064,-81.20556084895078,NC,False,,False,101.9,,337000.0,https://datacenters.com/google-lenoir-nc,708.0,Lynhaven Drive,50.0,heuristic:hyperscaler_self,12.726301369863014,1.0,1058400.0,529200.0,1587600.0,1.8,2.498,Medium-High,False,hyperscaler_self,True,False,False,False,False,False,False,False,35N-081W,56,False,False,unknown
DC-00026,CyrusOne: NYM1 Somerset Data Center,CyrusOne,"800 Cottontail Lane, Somerset, NJ, USA",Somerset,NJ,40.53901490871647,-74.54806380531525,NJ,False,40.0,False,21.75,185000.0,430000.0,https://datacenters.com/cyrusone-nym1-somerset,800.0,Cottontail Lane,40.0,disclosed,9.684109589041096,1.0,846720.0,423360.0,1270080.0,1.8,2.797,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,40N-074W,105,False,False,unknown
DC-00027,Oracle: US West us-phoenix-1,Oracle,"Phoenix, AZ, USA",AZ,AZ,33.4484367,-112.074141,AZ,False,,False,4.35,,,https://datacenters.com/oracle-us-west-us-phoenix-1,,Phoenix,50.0,heuristic:hyperscaler_self,12.55972602739726,1.0,1058400.0,529200.0,1587600.0,1.8,3.487,High,True,hyperscaler_self,True,False,False,False,False,False,False,False,33N-112W,41,False,True,unknown
DC-00028,QTS Data Centers: Atlanta 1 DC1 Data Center,QTS Data Centers,"1033 Jefferson Street Northwest, Atlanta, GA, USA",Atlanta,GA,33.77834525,-84.42109086212253,GA,False,70.0,False,9.33,531000.0,990000.0,https://datacenters.com/qts-atlanta-1-dc1,1033.0,Jefferson Street Northwest,70.0,disclosed,13.568767123287673,1.0,1481760.0,740880.0,2222640.0,1.8,1.889,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,33N-084W,36,False,False,unknown
DC-00029,QTS Data Centers: Chicago Data Center,QTS Data Centers,"2800 South Ashland Avenue, Chicago, Illinois 60608, USA",Chicago,IL,41.8422076,-87.66896957496199,IL,False,40.0,False,14.92,208000.0,467000.0,https://datacenters.com/qts-chicago,2800.0,South Ashland Avenue,40.0,disclosed,8.263561643835615,1.0,846720.0,423360.0,1270080.0,1.8,0.75,Low,False,colocation_major,False,True,False,False,False,False,False,True,41N-087W,122,False,False,unknown
DC-00030,Apple Inc.: Reno Data Center,Apple Inc.,"21505 Technology Way, Reno, NV 89521, USA",Reno,NV,39.4548195014176,-119.75492894772928,NV,False,,False,3.11,,1100000.0,https://datacenters.com/apple-inc-reno,21505.0,Technology Way,50.0,heuristic:hyperscaler_self,5.205479452054795,1.0,1058400.0,529200.0,1587600.0,1.8,2.146,Medium-High,False,hyperscaler_self,True,False,False,False,False,False,False,False,39N-119W,103,False,False,unknown
DC-00031,Amazon AWS: New Albany Innovation Campus Way,Amazon AWS,"Innovation Campus Way, New Albany, OH 43031, USA",New Albany,OH,40.08843982528924,-82.73012218446259,OH,False,,False,9.95,,,https://datacenters.com/amazon-aws-new-albany-innovation-campus-way,,Innovation Campus Way,50.0,heuristic:hyperscaler_self,8.650684931506849,1.0,1058400.0,529200.0,1587600.0,1.8,1.279,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,40N-082W,110,False,False,unknown
DC-00032,Microsoft Azure: West US 3-Arizona,Microsoft Azure,"12901 West Olive Avenue, El Mirage, AZ 85335, USA",El Mirage,AZ,33.565487088235294,-112.3375524117647,AZ,False,,False,21.13,,244666.0,https://datacenters.com/microsoft-azure-west-us-3-arizona,12901.0,West Olive Avenue,50.0,heuristic:hyperscaler_self,12.570958904109588,1.0,1058400.0,529200.0,1587600.0,1.8,3.487,High,True,hyperscaler_self,True,False,False,False,False,False,False,False,33N-112W,41,False,True,unknown
DC-00033,Iron Mountain Data Centers: AZP - 1 - Phoenix Data Center,Iron Mountain Data Centers,"615 North 48th Street, Phoenix, AZ, USA",Phoenix,AZ,33.4547001,-111.97624000293212,AZ,False,41.0,False,1.25,,588669.0,https://datacenters.com/iron-mountain-azp-1-phoenix,615.0,North 48th Street,41.0,disclosed,12.563561643835616,1.0,867888.0,433944.0,1301832.0,1.8,3.487,High,True,colocation_major,False,True,False,False,False,False,False,True,33N-111W,40,False,True,unknown
DC-00034,DataBank: DFW3 - Plano Data Center,DataBank,"8375 Dominion Pkwy, Plano, TX, USA",Plano,TX,33.085227685975575,-96.81243463687385,TX,False,13.5,False,18.02,72600.0,144000.0,https://datacenters.com/databank-dfw3-plano,8375.0,Dominion Pkwy,13.5,disclosed,15.00027397260274,1.000008219178082,285770.3487780821,142885.17438904106,428655.5231671232,1.8,2.681,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,33N-096W,39,False,False,unknown
DC-00035,Amazon AWS: 5113 Hayden Run,Amazon AWS,"5113 Hayden Run Rd, Hilliard, OH 43026, USA",Hilliard,OH,40.06182978685651,-83.13857184313851,OH,False,,False,13.68,,154000.0,https://datacenters.com/amazon-aws-5113-hayden-run,5113.0,Hayden Run Rd,50.0,heuristic:hyperscaler_self,9.055616438356164,1.0,1058400.0,529200.0,1587600.0,1.8,1.279,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,40N-083W,111,False,False,unknown
DC-00036,Telefonica Global Solutions: Miami KeyCenter,Telefonica Global Solutions,11300 Northwest 25th Street,,FL,25.79617075,-80.37981073067186,FL,False,12.0,False,5.0,44000.0,173500.0,https://datacenters.com/telefonica-global-solutions-miami-keycenter,11300.0,Northwest 25th Street,12.0,disclosed,21.46246575342466,1.19387397260274,303263.0910246576,151631.5455123288,454894.6365369864,1.8,2.559,Medium-High,False,colocation_secondary,False,False,True,False,False,False,False,True,25N-080W,2,False,False,unknown
DC-00037,Amazon AWS: PDX80 Hermiston OR,Amazon AWS,"Hermiston, OR 97838, USA",OR 97838,OR,45.8404101,-119.28946,OR,False,,False,180.2,,217900.0,https://datacenters.com/amazon-aws-pdx80-hermiston-or,,Hermiston,50.0,heuristic:hyperscaler_self,7.830684931506849,1.0,1058400.0,529200.0,1587600.0,1.8,1.569,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,False,45N-119W,160,False,False,unknown
DC-00038,Amazon AWS: Dublin OH,Amazon AWS,"5895 Houchard Road, Dublin, OH, USA",Dublin,OH,40.090437313529456,-83.20011722976207,OH,False,35.0,False,17.4,,310000.0,https://datacenters.com/amazon-aws-dublin-oh,5895.0,Houchard Road,35.0,disclosed,8.882465753424658,1.0,740880.0,370440.0,1111320.0,1.8,1.279,Low-Medium,False,hyperscaler_self,True,False,False,False,False,False,False,True,40N-083W,111,False,False,unknown
DC-00039,Equinix: SV1 San Jose Data Center,Equinix,"11 Great Oaks Boulevard, San Jose, CA, USA",San Jose,CA,37.24160355,-121.78331850529646,CA,False,4.0,False,41.64,82851.0,133500.0,https://datacenters.com/equinix-sv1-san-jose,11.0,Great Oaks Boulevard,4.0,disclosed,11.261643835616438,1.0,84672.0,42336.0,127008.0,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,37N-121W,80,False,True,unknown
DC-00040,QTS Data Centers: Piscataway Data Center,QTS Data Centers,"101 Possumtown Road, Piscataway Township, New Jersey 08854, USA",Piscataway Township,NJ,40.5574623,-74.48445497022735,NJ,False,52.0,False,18.02,176000.0,360000.0,https://datacenters.com/qts-piscataway,101.0,Possumtown Road,52.0,disclosed,9.684109589041096,1.0,1100736.0,550368.0,1651104.0,1.8,2.797,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,40N-074W,105,False,False,unknown
DC-00041,PhoenixNAP: Phoenix Data Center,PhoenixNAP,"3402 East University Drive, Phoenix, AZ, USA",Phoenix,AZ,33.41607765,-112.00935996881752,AZ,False,,False,1.25,90000.0,,https://datacenters.com/phoenixnap-phoenix,3402.0,East University Drive,20.0,heuristic:colocation_major,12.55972602739726,1.0,423360.0,211680.0,635040.0,1.8,3.487,High,True,colocation_major,False,True,False,False,False,False,False,False,33N-112W,41,False,True,unknown
DC-00042,Equinix: DC6 Ashburn Data Center,Equinix,"21721 Filigree Court, Ashburn, VA, USA",Ashburn,VA,39.0149639,-77.45878957525659,VA,False,7.5,False,4.35,59370.0,148659.0,https://datacenters.com/equinix-dc6-ashburn,21721.0,Filigree Court,7.5,disclosed,10.42958904109589,1.0,158759.99999999997,79379.99999999999,238140.0,1.8,1.94,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-077W,93,False,False,unknown
DC-00043,Equinix: DC3 Ashburn Data Center,Equinix,"44470 Chilum Place, Ashburn, VA, USA",Ashburn,VA,39.0220753,-77.46078439252335,VA,False,5.5,False,4.98,67041.0,95444.0,https://datacenters.com/equinix-dc3-ashburn,44470.0,Chilum Place,5.5,disclosed,10.42958904109589,1.0,116424.0,58211.99999999999,174635.99999999997,1.8,1.94,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-077W,93,False,False,unknown
DC-00044,"Meta, Inc.: Sarpy Nebraska Data Center","Meta, Inc.","S 144th St, Springfield, NE, USA",Springfield,NE,41.11071791738093,-96.13865612384616,NE,False,,False,19.27,,26000000.0,https://datacenters.com/facebook-sarpy-nebraska,,S 144th St,50.0,heuristic:hyperscaler_self,8.37945205479452,1.0,1058400.0,529200.0,1587600.0,1.8,3.16,High,True,hyperscaler_self,True,False,False,False,False,False,False,False,41N-096W,127,False,True,unknown
DC-00045,Equinix: CH1 Chicago Data Center,Equinix,"350 East Cermak Road, Chicago, IL, USA",Chicago,IL,41.85375365,-87.6183797609595,IL,False,6.0,False,16.78,50992.0,143630.0,https://datacenters.com/equinix-ch1-chicago,350.0,East Cermak Road,6.0,disclosed,8.263561643835615,1.0,127008.0,63503.99999999999,190512.0,1.8,0.75,Low,False,colocation_major,False,True,False,False,False,False,False,True,41N-087W,122,False,False,unknown
DC-00046,Centersquare: Phoenix ( PHX1 - Mesa) Data Center,Centersquare,"1301 West University Drive, Mesa, AZ, USA",Mesa,AZ,33.4212556,-111.85900104986746,AZ,False,14.0,False,8.08,73500.0,154158.0,https://datacenters.com/centersquare-phoenix-phx1-mesa,1301.0,West University Drive,14.0,disclosed,12.60958904109589,1.0,296351.99999999994,148175.99999999997,444527.9999999999,1.8,3.487,High,True,colocation_major,False,True,False,False,False,False,False,True,33N-111W,40,False,True,unknown
DC-00047,Centersquare: Chicago (CH1-Lisle) Data Center,Centersquare,"4513 Western Ave, Lisle, Illinois, USA",Lisle,IL,41.8023406,-88.09488559911235,IL,False,15.0,False,15.54,99650.0,190057.0,https://datacenters.com/centersquare-chicago-ch1-lisle,4513.0,Western Ave,15.0,disclosed,7.928493150684932,1.0,317519.99999999994,158759.99999999997,476279.9999999999,1.8,0.75,Low,False,colocation_major,False,True,False,False,False,False,False,True,41N-088W,123,False,False,unknown
DC-00048,Equinix: SV5 San Jose Data Center,Equinix,"9 Great Oaks Boulevard, San Jose, CA, USA",San Jose,CA,37.24189425,-121.78159761972708,CA,False,15.0,False,41.64,93498.0,175311.0,https://datacenters.com/equinix-sv5-san-jose,9.0,Great Oaks Boulevard,15.0,disclosed,11.293150684931506,1.0,317519.99999999994,158759.99999999997,476279.9999999999,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,37N-121W,80,False,True,unknown
DC-00049,"Google: Council Bluffs, IA Data Center",Google,"1430 Veterans Memorial Hwy, Council Bluffs, IA 51501, USA",Council Bluffs,IA,41.219787310543765,-95.86669189476514,IA,False,,False,5.6,,2890000.0,https://datacenters.com/google-council-bluffs-ia,1430.0,Veterans Memorial Hwy,50.0,heuristic:hyperscaler_self,8.313150684931507,1.0,1058400.0,529200.0,1587600.0,1.8,0.756,Low,False,hyperscaler_self,True,False,False,False,False,False,False,False,41N-095W,126,False,False,unknown
DC-00050,CyrusOne: CIN5 Cincinnati North Cincinnati Data Center,CyrusOne,"401 Kingsview Drive, Lebanon, OH, USA",Lebanon,OH,39.39004085714286,-84.21535134693877,OH,False,14.0,False,262.84,95000.0,400000.0,https://datacenters.com/cyrusone-cin5-cincinnati-north-cincinnati,401.0,Kingsview Drive,14.0,disclosed,9.552328767123289,1.0,296351.99999999994,148175.99999999997,444527.9999999999,1.8,1.279,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-084W,97,False,False,unknown
DC-00051,Digital Realty: Dallas DFW11 Data Center,Digital Realty,"4025 Midway Road, Carrollton, TX, USA",Carrollton,TX,33.0213677755102,-96.843649,TX,False,10.0,False,13.7,100000.0,100590.0,https://datacenters.com/digital-realty-dallas-dfw11,4025.0,Midway Road,10.0,disclosed,15.052876712328768,1.001586301369863,212015.78827397252,106007.89413698627,318023.68241095886,1.8,2.681,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,33N-096W,39,False,False,unknown
DC-00052,CyrusOne: DFW1 Dallas Carrollton Data Center,CyrusOne,"1649 West Frankford Road, Carrollton, TX, USA",Carrollton,TX,32.9930675,-96.9320286,TX,False,90.0,False,8.7,400000.0,670000.0,https://datacenters.com/cyrusone-dfw1-dallas-carrollton,1649.0,West Frankford Road,90.0,disclosed,15.2013698630137,1.006041095890411,1916629.0126027395,958314.5063013698,2874943.518904109,1.8,2.681,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,32N-096W,31,False,False,unknown
DC-00053,Equinix: NY9 New York Data Center,Equinix,"111 8th Avenue, New York, NY, USA",New York,NY,40.7408812,-74.0020865,NY,False,1.7,False,6.84,35894.0,55721.0,https://datacenters.com/equinix-ny9-new-york,111.0,8th Avenue,1.7,disclosed,9.82876712328767,1.0,35985.6,17992.8,53978.4,1.8,0.834,Low,False,colocation_major,False,True,False,False,False,False,False,True,40N-074W,105,False,False,unknown
DC-00054,Equinix: DC4 Ashburn Data Center,Equinix,"21691 Filigree Court, Ashburn, VA, USA",Ashburn,VA,39.01631515,-77.46190270161111,VA,False,6.8,False,4.35,60587.0,99969.0,https://datacenters.com/equinix-dc4-ashburn,21691.0,Filigree Court,6.8,disclosed,10.42958904109589,1.0,143942.4,71971.2,215913.6,1.8,1.94,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-077W,93,False,False,unknown
DC-00055,Prime Data Centers: Prime Los Angeles - 4701 S. Santa Fe,Prime Data Centers,"4701 South Santa Fe Avenue, Vernon, CA, USA",Vernon,CA,34.001433522333365,-118.23030915642762,CA,False,33.0,False,10.57,110310.0,242495.0,https://datacenters.com/prime-prime-los-angeles-4701-s-santa-fe,4701.0,South Santa Fe Avenue,33.0,disclosed,12.915342465753422,1.0,698544.0,349272.0,1047816.0,1.8,3.724,High,True,colocation_secondary,False,False,True,False,False,False,False,True,34N-118W,52,False,True,unknown
